,edit_count,sentiment,neg_sentiment
2009-04-06,0.13333333333333333,-0.018350834647814434,0.025
2009-04-07,0.0,0.0,0.0
2009-04-08,0.0,0.0,0.0
2009-04-09,0.0,0.0,0.0
2009-04-10,0.0,0.0,0.0
2009-04-11,0.0,0.0,0.0
2009-04-12,0.0,0.0,0.0
2009-04-13,0.0,0.0,0.0
2009-04-14,0.0,0.0,0.0
2009-04-15,0.0,0.0,0.0
2009-04-16,0.0,0.0,0.0
2009-04-17,0.0,0.0,0.0
2009-04-18,0.0,0.0,0.0
2009-04-19,0.0,0.0,0.0
2009-04-20,0.0,0.0,0.0
2009-04-21,0.0,0.0,0.0
2009-04-22,0.0,0.0,0.0
2009-04-23,0.0,0.0,0.0
2009-04-24,0.0,0.0,0.0
2009-04-25,0.0,0.0,0.0
2009-04-26,0.0,0.0,0.0
2009-04-27,0.0,0.0,0.0
2009-04-28,0.0,0.0,0.0
2009-04-29,0.0,0.0,0.0
2009-04-30,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-05-02,0.0,0.0,0.0
2009-05-03,0.0,0.0,0.0
2009-05-04,0.0,0.0,0.0
2009-05-05,0.0,0.0,0.0
2009-05-06,0.0,0.0,0.0
2009-05-07,0.0,0.0,0.0
2009-05-08,0.0,0.0,0.0
2009-05-09,0.0,0.0,0.0
2009-05-10,0.0,0.0,0.0
2009-05-11,0.0,0.0,0.0
2009-05-12,0.0,0.0,0.0
2009-05-13,0.0,0.0,0.0
2009-05-14,0.0,0.0,0.0
2009-05-15,0.0,0.0,0.0
2009-05-16,0.0,0.0,0.0
2009-05-17,0.0,0.0,0.0
2009-05-18,0.0,0.0,0.0
2009-05-19,0.0,0.0,0.0
2009-05-20,0.0,0.0,0.0
2009-05-21,0.0,0.0,0.0
2009-05-22,0.0,0.0,0.0
2009-05-23,0.0,0.0,0.0
2009-05-24,0.0,0.0,0.0
2009-05-25,0.0,0.0,0.0
2009-05-26,0.0,0.0,0.0
2009-05-27,0.0,0.0,0.0
2009-05-28,0.0,0.0,0.0
2009-05-29,0.0,0.0,0.0
2009-05-30,0.0,0.0,0.0
2009-05-31,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-06-02,0.0,0.0,0.0
2009-06-03,0.0,0.0,0.0
2009-06-04,0.0,0.0,0.0
2009-06-05,0.0,0.0,0.0
2009-06-06,0.0,0.0,0.0
2009-06-07,0.0,0.0,0.0
2009-06-08,0.0,0.0,0.0
2009-06-09,0.0,0.0,0.0
2009-06-10,0.0,0.0,0.0
2009-06-11,0.0,0.0,0.0
2009-06-12,0.0,0.0,0.0
2009-06-13,0.0,0.0,0.0
2009-06-14,0.0,0.0,0.0
2009-06-15,0.0,0.0,0.0
2009-06-16,0.0,0.0,0.0
2009-06-17,0.0,0.0,0.0
2009-06-18,0.0,0.0,0.0
2009-06-19,0.0,0.0,0.0
2009-06-20,0.0,0.0,0.0
2009-06-21,0.0,0.0,0.0
2009-06-22,0.0,0.0,0.0
2009-06-23,0.0,0.0,0.0
2009-06-24,0.0,0.0,0.0
2009-06-25,0.0,0.0,0.0
2009-06-26,0.0,0.0,0.0
2009-06-27,0.0,0.0,0.0
2009-06-28,0.0,0.0,0.0
2009-06-29,0.0,0.0,0.0
2009-06-30,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-07-02,0.0,0.0,0.0
2009-07-03,0.0,0.0,0.0
2009-07-04,0.0,0.0,0.0
2009-07-05,0.0,0.0,0.0
2009-07-06,0.0,0.0,0.0
2009-07-07,0.0,0.0,0.0
2009-07-08,0.0,0.0,0.0
2009-07-09,0.0,0.0,0.0
2009-07-10,0.0,0.0,0.0
2009-07-11,0.0,0.0,0.0
2009-07-12,0.0,0.0,0.0
2009-07-13,0.0,0.0,0.0
2009-07-14,0.0,0.0,0.0
2009-07-15,0.0,0.0,0.0
2009-07-16,0.0,0.0,0.0
2009-07-17,0.0,0.0,0.0
2009-07-18,0.0,0.0,0.0
2009-07-19,0.0,0.0,0.0
2009-07-20,0.0,0.0,0.0
2009-07-21,0.0,0.0,0.0
2009-07-22,0.0,0.0,0.0
2009-07-23,0.0,0.0,0.0
2009-07-24,0.0,0.0,0.0
2009-07-25,0.0,0.0,0.0
2009-07-26,0.0,0.0,0.0
2009-07-27,0.0,0.0,0.0
2009-07-28,0.0,0.0,0.0
2009-07-29,0.0,0.0,0.0
2009-07-30,0.0,0.0,0.0
2009-07-31,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-08-02,0.0,0.0,0.0
2009-08-03,0.0,0.0,0.0
2009-08-04,0.0,0.0,0.0
2009-08-05,0.03333333333333333,0.024937365452448526,0.0
2009-08-06,0.1,0.05812889337539673,0.0
2009-08-07,0.1,0.05812889337539673,0.0
2009-08-08,0.1,0.05812889337539673,0.0
2009-08-09,0.1,0.05812889337539673,0.0
2009-08-10,0.1,0.05812889337539673,0.0
2009-08-11,0.1,0.05812889337539673,0.0
2009-08-12,0.1,0.05812889337539673,0.0
2009-08-13,0.1,0.05812889337539673,0.0
2009-08-14,0.13333333333333333,0.08912961085637411,0.0
2009-08-15,0.13333333333333333,0.08912961085637411,0.0
2009-08-16,0.13333333333333333,0.08912961085637411,0.0
2009-08-17,0.13333333333333333,0.08912961085637411,0.0
2009-08-18,0.13333333333333333,0.08912961085637411,0.0
2009-08-19,0.13333333333333333,0.08912961085637411,0.0
2009-08-20,0.13333333333333333,0.08912961085637411,0.0
2009-08-21,0.13333333333333333,0.08912961085637411,0.0
2009-08-22,0.13333333333333333,0.08912961085637411,0.0
2009-08-23,0.13333333333333333,0.08912961085637411,0.0
2009-08-24,0.13333333333333333,0.08912961085637411,0.0
2009-08-25,0.13333333333333333,0.08912961085637411,0.0
2009-08-26,0.13333333333333333,0.08912961085637411,0.0
2009-08-27,0.13333333333333333,0.08912961085637411,0.0
2009-08-28,0.13333333333333333,0.08912961085637411,0.0
2009-08-29,0.13333333333333333,0.08912961085637411,0.0
2009-08-30,0.13333333333333333,0.08912961085637411,0.0
2009-08-31,0.13333333333333333,0.08912961085637411,0.0
2009-09-01,0.13333333333333333,0.08912961085637411,0.0
2009-09-02,0.13333333333333333,0.08912961085637411,0.0
2009-09-03,0.13333333333333333,0.08912961085637411,0.0
2009-09-04,0.1,0.06419224540392558,0.0
2009-09-05,0.03333333333333333,0.031000717480977377,0.0
2009-09-06,0.03333333333333333,0.031000717480977377,0.0
2009-09-07,0.03333333333333333,0.031000717480977377,0.0
